Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
VolumeEquation,VolumeEquation_CN,INTEGER,X,,,,,,,,
VolumeEquation,CruiseID,TEXT,,X,Cruise,X,,,,,
VolumeEquation,Species,TEXT,,,,X,,,,,
VolumeEquation,PrimaryProduct,TEXT,,,,X,,,,,
VolumeEquation,VolumeEquationNumber,TEXT,,,,X,,,,,
VolumeEquation,StumpHeight,REAL,,,,,,,,,
VolumeEquation,TopDIBPrimary,REAL,,,,,,,,,
VolumeEquation,TopDIBSecondary,REAL,,,,,,,,,
VolumeEquation,CalcTotal,INTEGER,,,,,,,,,
VolumeEquation,CalcBoard,INTEGER,,,,,,,,,
VolumeEquation,CalcCubic,INTEGER,,,,,,,,,
VolumeEquation,CalcCord,INTEGER,,,,,,,,,
VolumeEquation,CalcTopwood,INTEGER,,,,,,,,,
VolumeEquation,CalcBiomass,INTEGER,,,,,,,,,
VolumeEquation,Trim,REAL,,,,,,,,,
VolumeEquation,SegmentationLogic,INTEGER,,,,,,,,,
VolumeEquation,MinLogLengthPrimary,REAL,,,,,,,,,
VolumeEquation,MaxLogLengthPrimary,REAL,,,,,,,,,
VolumeEquation,MinLogLengthSecondary,REAL,,,,,,,,,
VolumeEquation,MaxLogLengthSecondary,REAL,,,,,,,,,
VolumeEquation,MinMerchLength,REAL,,,,,,,,,
VolumeEquation,Model,TEXT,,,,,,,,,
VolumeEquation,CommonSpeciesName,TEXT,,,,,,,,,
VolumeEquation,MerchModFlag,INTEGER,,,,,,,,,
VolumeEquation,EvenOddSegment,INTEGER,,,,,,,,,
VolumeEquation,CreatedBy,TEXT,,,,,,,,,
VolumeEquation,Created_TS,DATETIME,,,,,,,,,
VolumeEquation,ModifiedBy,TEXT,,,,,,,,,
VolumeEquation,Modified_TS,DATETIME,,,,,,,,,
